,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,NISSAN,QASHQAI,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-09-02,2009-11-05,1997.0,104.0,1557,5.0,BENZYNA,,LUBUSKIE
1,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-09-02,2009-12-01,1595.0,75.0,1325,5.0,BENZYNA,,LUBUSKIE
2,MERCEDES-BENZ,A 180,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1332.0,100.0,1340,5.0,BENZYNA,,LUBUSKIE
3,FORD,FOCUS,SAMOCHÓD OSOBOWY,KARETA (SEDAN),PONOWNA REJESTRACJA,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-04-22,1596.0,74.0,1095,5.0,BENZYNA,,LUBUSKIE
4,PEUGEOT,807,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-12-09,2179.0,94.0,1708,7.0,OLEJ NAPĘDOWY,,LUBUSKIE
5,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-06-01,1968.0,103.0,1495,5.0,OLEJ NAPĘDOWY,,LUBUSKIE
6,TOYOTA,TOYOTA YARIS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1496.0,82.0,1060,5.0,BENZYNA,,LUBUSKIE
7,OPEL,SIGNUM,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-10-31,1910.0,110.0,1613,5.0,OLEJ NAPĘDOWY,,LUBUSKIE
8,BMW,318I,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,1999,2019-09-02,2019-09-02,1999-09-20,1895.0,87.0,1360,5.0,BENZYNA,,LUBUSKIE
9,OPEL,MERIVA-A,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-09-29,1598.0,74.0,1375,5.0,BENZYNA,,LUBUSKIE
10,BMW,X5,SAMOCHÓD OSOBOWY,TERENOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-06-08,2993.0,160.0,2180,5.0,OLEJ NAPĘDOWY,,LUBUSKIE
11,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-02-13,1968.0,125.0,1595,5.0,OLEJ NAPĘDOWY,,LUBUSKIE
12,FORD,FOCUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,1998,2019-09-02,2019-09-02,1998-10-30,1388.0,55.0,1149,5.0,BENZYNA,,LUBUSKIE
13,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1591.0,130.0,1502,5.0,BENZYNA,,LUBUSKIE
14,CHEVROLET,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2010-01-04,1796.0,104.0,1365,5.0,BENZYNA,,LUBUSKIE
15,BMW,120D,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-07-12,1995.0,120.0,1415,5.0,OLEJ NAPĘDOWY,,LUBUSKIE
16,HYUNDAI,I20 ACTIVE,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1368.0,73.6,1129,5.0,BENZYNA,,LUBUSKIE
17,BMW,320 D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-09-18,1995.0,130.0,1580,5.0,OLEJ NAPĘDOWY,,LUBUSKIE
18,OPEL,MOKKA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-12-07,1364.0,103.0,1527,5.0,BENZYNA,,LUBUSKIE
19,MAZDA,2,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-06-28,1388.0,59.0,1130,5.0,BENZYNA,,LUBUSKIE
20,FORD,FOCUS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-03-15,1596.0,74.0,1227,5.0,BENZYNA,,LUBUSKIE
21,MERCEDES-BENZ,C 180,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-07-26,1796.0,115.0,1540,5.0,BENZYNA,,LUBUSKIE
22,MERCEDES-BENZ,VANEO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-08-10,1689.0,67.0,1350,5.0,OLEJ NAPĘDOWY,,LUBUSKIE
