,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,AUDI,A8,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-10-28,2007-10-19,4163.0,257.0,1940,5.0,BENZYNA,,OPOLSKIE
1,KIA,SORENTO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-06-27,2497.0,125.0,2065,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
2,MAZDA,2,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-02,2019-10-11,2005-01-14,1388.0,59.0,1120,5.0,BENZYNA,,OPOLSKIE
3,PEUGEOT,RCZ,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-11-18,1997.0,120.0,1370,4.0,OLEJ NAPĘDOWY,,OPOLSKIE
4,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-02-17,1968.0,103.0,1521,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
5,VOLVO,XC90,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-07-30,2400.0,136.0,2144,7.0,OLEJ NAPĘDOWY,,OPOLSKIE
6,OPEL,CORSA-C,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-03-02,998.0,44.0,980,5.0,BENZYNA,,OPOLSKIE
7,CITROEN,C3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-07-06,1360.0,54.0,1089,5.0,BENZYNA,,OPOLSKIE
8,MAZDA,3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-03-01,1560.0,85.0,1230,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
9,SKODA,KAROQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,85.0,1479,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
