,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,HYUNDAI,TUCSON,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-09-02,2009-02-27,1975.0,104.0,1537,5.0,BENZYNA,,PODKARPACKIE
1,RENAULT,MODUS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2005,FABRYCZNY,2019-09-02,2019-10-24,2005-05-27,1149.0,55.0,1155,5.0,BENZYNA,,PODKARPACKIE
2,AUDI,A6 AVANT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2016,FABRYCZNY,2019-09-02,2019-10-25,2016-05-09,2967.0,240.0,2005,5.0,OLEJ NAPĘDOWY,,PODKARPACKIE
3,CITROEN,C4,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2010,FABRYCZNY,2019-09-02,2019-10-24,2010-05-29,1598.0,88.0,1355,5.0,BENZYNA,,PODKARPACKIE
4,MAZDA,6,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2016,FABRYCZNY,2019-09-02,2019-10-14,2016-01-01,2488.0,141.0,1485,5.0,BENZYNA,,PODKARPACKIE
5,,212140-0000070,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2019,FABRYCZNY,2019-09-02,2019-10-14,2019-01-01,1690.0,61.0,1285,4.0,BENZYNA,,PODKARPACKIE
6,OPEL,CORSA 1.2,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2011,FABRYCZNY,2019-09-02,2019-09-02,2011-04-07,1229.0,51.0,1163,5.0,BENZYNA,,PODKARPACKIE
7,KIA,STONIC,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-02,2019-09-02,,1368.0,73.3,1085,5.0,BENZYNA,,PODKARPACKIE
8,MAZDA,3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-09-02,2010-02-15,1598.0,77.0,1255,5.0,BENZYNA,,PODKARPACKIE
9,VOLKSWAGEN,CARAVELLE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-04-18,1984.0,85.0,2110,9.0,BENZYNA,,PODKARPACKIE
10,SEAT,LEON,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2008,FABRYCZNY,2019-09-02,2019-09-02,2008-03-31,1595.0,75.0,1280,5.0,BENZYNA,,PODKARPACKIE
11,HONDA,FIT,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2018,2019-09-02,2019-10-04,2018-01-01,1497.0,86.0,1143,5.0,BENZYNA,,PODKARPACKIE
12,OPEL,,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-02,2019-09-02,2002-05-27,973.0,43.0,980,5.0,BENZYNA,,PODKARPACKIE
13,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-08-06,1595.0,75.0,1345,5.0,BENZYNA,,PODKARPACKIE
14,HONDA,CIVIC,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-08-21,1799.0,103.0,1265,5.0,BENZYNA,,PODKARPACKIE
