,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,FIAT,STILO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-01-02,2019-10-10,2004-10-27,1368.0,70.0,1090,5.0,BENZYNA,,PODLASKIE
1,MITSUBISHI,OUTLANDER,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-05-24,,1998.0,110.0,1510,5.0,BENZYNA,,PODLASKIE
2,SMART,FORTWO COUPE MHD,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-01-02,2019-01-02,2011-06-10,999.0,45.0,825,2.0,BENZYNA,,PODLASKIE
3,BMW,530D,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-01-02,2019-01-02,2007-02-07,2993.0,170.0,1665,5.0,OLEJ NAPĘDOWY,,PODLASKIE
4,MAZDA,CX-9,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-01-02,2019-01-02,2014-01-01,3726.0,204.0,1958,7.0,BENZYNA,,PODLASKIE
5,HONDA,ACCORD 2.0 KAT,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-01-02,2019-01-02,2003-02-24,1998.0,114.0,1393,5.0,BENZYNA,,PODLASKIE
6,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-01-02,2019-01-02,2006-11-02,1896.0,85.0,1525,5.0,OLEJ NAPĘDOWY,,PODLASKIE
7,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1591.0,97.0,1415,5.0,BENZYNA,,PODLASKIE
8,BMW,530,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-01-02,2019-01-02,2010-03-26,2993.0,180.0,1795,5.0,OLEJ NAPĘDOWY,,PODLASKIE
9,BMW,530,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-01-02,2019-07-01,2006-10-18,2993.0,170.0,1755,5.0,OLEJ NAPĘDOWY,,PODLASKIE
10,MITSUBISHI,ECLIPSE CROSS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-06-14,,1499.0,120.0,1520,5.0,BENZYNA,,PODLASKIE
11,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-06-05,,1598.0,100.0,1530,5.0,OLEJ NAPĘDOWY,,PODLASKIE
12,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-01-02,2019-07-01,2001-05-14,1896.0,66.0,1360,5.0,OLEJ NAPĘDOWY,,PODLASKIE
13,RENAULT,SCENIC,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-01-02,2019-01-09,2002-12-27,1598.0,79.0,1325,5.0,BENZYNA,,PODLASKIE
14,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-05-27,,1591.0,130.0,1562,5.0,BENZYNA,,PODLASKIE
15,PEUGEOT,307,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-01-02,2019-05-14,2007-08-15,1997.0,100.0,1494,5.0,OLEJ NAPĘDOWY,,PODLASKIE
16,CITROEN,C3,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-04-17,,1199.0,81.0,1085,5.0,BENZYNA,,PODLASKIE
17,HONDA,CR-V 2.0,SAMOCHÓD OSOBOWY,TERENOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-01-02,2019-01-02,2004-08-13,1998.0,110.0,1454,5.0,BENZYNA,,PODLASKIE
18,AUDI,Q7,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-01-02,2019-01-02,2011-07-01,2967.0,165.0,2470,7.0,OLEJ NAPĘDOWY,,PODLASKIE
19,TOYOTA,YARIS VERSO,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-01-02,2019-01-02,2004-12-10,1364.0,55.0,1120,5.0,OLEJ NAPĘDOWY,,PODLASKIE
20,VOLKSWAGEN,BORA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2000,2019-01-02,2019-01-02,2000-06-23,1984.0,85.0,1302,5.0,BENZYNA,,PODLASKIE
21,CITROEN,C5,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-01-02,2019-01-02,2009-06-16,1997.0,103.0,1653,5.0,BENZYNA,,PODLASKIE
22,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-01-02,2019-01-02,2008-01-30,1997.0,103.0,1501,5.0,OLEJ NAPĘDOWY,,PODLASKIE
23,OPEL,ASTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-01-02,2019-01-02,2005-05-25,1686.0,74.0,1365,5.0,OLEJ NAPĘDOWY,,PODLASKIE
24,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-01-02,2019-01-02,2008-04-09,2698.0,132.0,1705,5.0,OLEJ NAPĘDOWY,,PODLASKIE
25,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-01-02,2019-01-02,2014-07-07,1968.0,135.0,1482,5.0,OLEJ NAPĘDOWY,,PODLASKIE
26,OPEL,ASTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-01-02,2019-01-02,2005-02-09,1598.0,77.0,1265,5.0,BENZYNA,,PODLASKIE
27,NISSAN,QASHQAI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-01-02,2019-01-02,2008-08-27,1995.0,110.0,1679,5.0,OLEJ NAPĘDOWY,,PODLASKIE
28,MERCEDES-BENZ,GL 320 CDI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-01-02,2019-01-03,2008-01-01,2987.0,165.0,2450,7.0,OLEJ NAPĘDOWY,,PODLASKIE
29,VOLKSWAGEN,FOX,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-01-02,2019-01-02,2006-10-11,1198.0,40.0,1073,4.0,BENZYNA,,PODLASKIE
30,MERCEDES-BENZ,VITO 111 CDI,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-01-02,2019-01-02,2010-10-12,2148.0,85.0,1840,9.0,OLEJ NAPĘDOWY,,PODLASKIE
