,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,MITSUBISHI,LANCER,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2008,FABRYCZNY,2019-09-02,2019-09-02,2009-07-14,1798.0,105.0,1395,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
1,BMW,320D,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-06-13,1995.0,130.0,1445,4.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
2,PEUGEOT,3008,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1199.0,96.0,1320,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
3,VOLVO,XC90 2.4 D5,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-06-26,2401.0,136.0,2073,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
4,VOLKSWAGEN,ARTEON,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1984.0,200.0,1698,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
5,AUDI,A6,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-07-29,2698.0,132.0,1770,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
6,BMW,1,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-07-12,1995.0,90.0,1385,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
7,TOYOTA,AURIS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-02-13,1398.0,71.0,1325,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
8,RENAULT,,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-27,2012-01-09,1397.0,96.0,1315,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
9,OPEL,CORSA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-09-19,1229.0,51.0,1088,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
