,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-01-01,2019-05-17,2010-12-21,1798.0,118.0,1545.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
1,PEUGEOT,5008,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,2018,FABRYCZNY,2019-01-02,2019-10-30,,1997.0,130.0,1540.0,7.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
2,OPEL,INSIGNIA SPORTS TOURER,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-01-02,2019-10-17,2009-09-08,1956.0,96.0,1655.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
3,MERCEDES-BENZ,VITO TOURER,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-08-29,,2143.0,120.0,2203.0,8.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
4,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-01-02,2019-01-02,2007-03-27,1968.0,125.0,1520.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
5,OPEL,ZAFIRA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2018,2019-01-02,2019-07-12,2018-05-22,1364.0,103.0,1664.0,7.0,BENZYNA,,ZACHODNIOPOMORSKIE
6,SKODA,FABIA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-01-02,2019-06-17,2001-05-31,1390.0,74.0,1156.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
7,OPEL,ASTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-01-02,2019-07-08,2006-04-19,1248.0,66.0,1255.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
8,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-01-02,2019-06-18,2012-01-13,1968.0,100.0,1685.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
9,FORD,S-MAX,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-01-02,2019-01-02,2006-10-17,2521.0,162.0,1681.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
10,SEAT,ARONA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,999.0,85.0,1169.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
11,RENAULT,MEGANE SCENIC,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-01-02,2019-01-02,2003-08-28,1598.0,83.0,1395.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
12,RENAULT,MEGANE,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-01-02,2019-01-02,2006-05-03,1870.0,96.0,1385.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
13,OPEL,INSIGNIA SPORTS TOURER,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-01-02,2019-01-02,2014-08-19,1956.0,103.0,1733.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
14,FORD,KUGA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1498.0,110.0,1555.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
15,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1496.0,82.0,1063.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
16,RENAULT,MEGANE,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2017,2019-01-02,2019-01-02,2017-03-29,1598.0,96.0,1398.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
17,FORD,GALAXY,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-01-02,2019-01-02,2003-08-13,1896.0,96.0,1724.0,7.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
18,SUZUKI,GRAND VITARA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-01-02,2019-01-02,2012-03-28,1870.0,95.0,1729.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
19,TOYOTA,TOYOTA YARIS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1496.0,82.0,1076.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
20,VOLKSWAGEN,LT,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-01-02,2019-01-02,2005-01-26,2461.0,61.0,2152.0,9.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
21,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1968.0,110.0,1472.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
22,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-02-28,,,100.0,1564.0,5.0,ENERGIA ELEKTRYCZNA,,ZACHODNIOPOMORSKIE
23,DACIA,SANDERO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-01-02,2019-01-02,2009-05-13,1390.0,55.0,1111.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
24,KIA,CEE'D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-01-02,2019-01-02,2009-07-24,1396.0,80.0,1262.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
25,HYUNDAI,TUCSON,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1591.0,97.0,1448.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
26,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1591.0,130.0,1470.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
27,FORD,FOCUS C-MAX,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-01-02,2019-01-02,2004-07-22,1997.0,100.0,1491.0,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
28,SKODA,FABIA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,999.0,55.0,1038.0,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
