,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,SUZUKI,IGNIS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2001,FABRYCZNY,2019-09-02,2019-11-05,2001-05-11,1328.0,61.0,990,5.0,BENZYNA,,ŁÓDZKIE
1,MERCEDES-BENZ,E 280 CDI,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-10-31,2007-02-14,2987.0,140.0,1740,5.0,OLEJ NAPĘDOWY,,ŁÓDZKIE
2,FORD,MONDEO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2008,FABRYCZNY,2019-09-02,2019-09-02,2008-02-29,1596.0,92.0,1435,5.0,BENZYNA,,ŁÓDZKIE
3,NISSAN,JUKE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2011,FABRYCZNY,2019-09-02,2019-09-02,2011-04-28,1598.0,86.0,1215,5.0,BENZYNA,,ŁÓDZKIE
4,VOLKSWAGEN,TOURAN,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2010,FABRYCZNY,2019-09-02,2019-10-25,2010-04-01,1968.0,103.0,1633,5.0,OLEJ NAPĘDOWY,,ŁÓDZKIE
5,MAZDA,2,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2005,FABRYCZNY,2019-09-02,2019-10-14,2005-09-23,1242.0,55.0,1120,5.0,BENZYNA,,ŁÓDZKIE
6,MITSUBISHI,COLT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2011,FABRYCZNY,2019-09-02,2019-10-18,2012-02-10,1332.0,70.0,1050,5.0,BENZYNA,,ŁÓDZKIE
7,RENAULT,,SAMOCHÓD OSOBOWY,KABRIOLET,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-10-15,2007-05-21,1998.0,99.0,1465,4.0,BENZYNA,,ŁÓDZKIE
8,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2006,FABRYCZNY,2019-09-02,2019-09-02,2006-06-02,1388.0,59.0,1101,5.0,BENZYNA,,ŁÓDZKIE
9,FORD,TOURNEO CONNECT,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-02,2019-09-02,2004-10-29,1796.0,85.0,1495,5.0,BENZYNA,,ŁÓDZKIE
10,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2006,FABRYCZNY,2019-09-02,2019-09-02,2006-03-21,1298.0,64.0,1130,5.0,BENZYNA,,ŁÓDZKIE
11,FIAT,BRAVO 1.4 16V,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2010,FABRYCZNY,2019-09-02,2019-09-02,2010-04-29,1368.0,110.0,1350,5.0,BENZYNA,,ŁÓDZKIE
12,VOLKSWAGEN,NEW BEETLE,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-10-04,2001-12-01,1896.0,66.0,1345,4.0,OLEJ NAPĘDOWY,,ŁÓDZKIE
13,MAZDA,CX-3,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1998.0,89.0,1229,5.0,BENZYNA,,ŁÓDZKIE
14,FIAT,FIAT 500,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-07-03,1242.0,51.0,940,4.0,BENZYNA,,ŁÓDZKIE
15,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,1999,2019-09-02,2019-09-02,1999-08-14,1390.0,55.0,1105,5.0,BENZYNA,,ŁÓDZKIE
16,FORD,MONDEO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-07-04,1596.0,118.0,1498,5.0,BENZYNA,,ŁÓDZKIE
17,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2001-12-18,1598.0,77.0,1293,5.0,BENZYNA,,ŁÓDZKIE
18,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,85.0,1341,5.0,OLEJ NAPĘDOWY,,ŁÓDZKIE
19,BMW,320D TOURING 2.0,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-04-16,1995.0,120.0,1580,5.0,OLEJ NAPĘDOWY,,ŁÓDZKIE
