,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,NISSAN,MICRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2017,FABRYCZNY,2019-09-02,2019-11-04,2017-10-30,999.0,52.0,1045,5.0,BENZYNA,,ŚLĄSKIE
1,JEEP,RENEGADE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2017,FABRYCZNY,2019-09-02,2019-11-08,2017-01-01,1368.0,125.0,1450,5.0,BENZYNA,,ŚLĄSKIE
2,VOLVO,V40,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2002,FABRYCZNY,2019-09-02,2019-09-02,2002-04-22,1948.0,147.0,1395,5.0,BENZYNA,,ŚLĄSKIE
3,BMW,Z4,SAMOCHÓD OSOBOWY,KABRIOLET,UŻYW. IMPORT INDYW,2006,FABRYCZNY,2019-09-02,2019-09-02,2006-03-27,1995.0,110.0,1295,2.0,BENZYNA,,ŚLĄSKIE
4,OPEL,ZAFIRA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-11-28,1796.0,103.0,1503,7.0,BENZYNA,,ŚLĄSKIE
5,AUDI,A3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-05-16,1595.0,75.0,1280,5.0,BENZYNA,,ŚLĄSKIE
6,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2005,FABRYCZNY,2019-09-02,2019-09-02,2005-10-20,1595.0,75.0,1345,5.0,BENZYNA,,ŚLĄSKIE
7,BMW,120D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2013,FABRYCZNY,2019-09-02,2019-09-02,2013-03-22,1995.0,135.0,1420,5.0,OLEJ NAPĘDOWY,,ŚLĄSKIE
8,FORD,FOCUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2005,FABRYCZNY,2019-09-02,2019-09-02,2005-09-08,1596.0,74.0,1277,5.0,BENZYNA,,ŚLĄSKIE
9,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2008,FABRYCZNY,2019-09-02,2019-09-02,2008-04-01,1595.0,75.0,1353,5.0,BENZYNA,,ŚLĄSKIE
10,KIA,CEED,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2012,FABRYCZNY,2019-09-02,2019-09-02,2012-06-27,1396.0,66.0,1317,5.0,NIE DOTYCZY,,ŚLĄSKIE
11,OPEL,MERIVA-A,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2010,FABRYCZNY,2019-09-02,2019-09-02,2010-03-04,1364.0,66.0,1203,5.0,BENZYNA,,ŚLĄSKIE
