,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,1999,FABRYCZNY,2019-01-02,2019-01-02,1999-06-25,1598.0,55.0,1240,5.0,OLEJ NAPĘDOWY,,ŚWIĘTOKRZYSKIE
1,FORD,FOCUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-01-02,2019-07-22,2012-07-11,998.0,92.0,1316,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
2,MITSUBISHI,ASX,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-01-02,2019-01-02,2012-10-30,1590.0,86.0,1347,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
3,AUDI,A6,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2000,2019-01-02,2019-01-02,2000-02-28,2771.0,142.0,1535,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
4,VOLKSWAGEN,SHARAN,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-01-02,2019-01-02,2005-12-23,1984.0,85.0,1836,7.0,BENZYNA,,ŚWIĘTOKRZYSKIE
5,OPEL,MERIVA-A,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-01-02,2019-01-02,2005-09-30,1364.0,66.0,1330,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
6,RENAULT,TALISMAN,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-05-23,,1798.0,165.0,1640,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
7,SEAT,IBIZA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-01-02,2019-06-03,2004-06-28,1390.0,55.0,1103,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
8,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-01-02,2019-01-02,2009-04-28,1198.0,44.0,1089,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
9,RENAULT,MEGANE SCENIC,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-01-02,2019-01-02,2006-08-31,1598.0,82.0,1395,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
10,FORD,FOCUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-01-02,2019-01-02,2008-09-16,1997.0,100.0,1438,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
11,MAZDA,3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-01-02,2019-01-02,2005-08-12,1598.0,77.0,1260,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
12,TOYOTA,VERSO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-01-02,2019-01-02,2014-07-15,1364.0,66.0,1210,5.0,OLEJ NAPĘDOWY,,ŚWIĘTOKRZYSKIE
13,KIA,CEED,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-01-02,2019-01-02,2009-02-06,1591.0,93.0,1317,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
14,CHEVROLET,ORLANDO,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-01-02,2019-01-02,2013-09-04,1998.0,120.0,1711,7.0,OLEJ NAPĘDOWY,,ŚWIĘTOKRZYSKIE
15,OPEL,ASTRA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-01-02,2019-01-02,2010-02-25,1686.0,81.0,1428,5.0,OLEJ NAPĘDOWY,,ŚWIĘTOKRZYSKIE
16,RENAULT,CAPTUR,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,898.0,66.0,1212,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
17,KIA,CEED,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1368.0,73.3,1185,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
18,BMW,530I,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-01-02,2019-01-02,2001-03-26,2979.0,170.0,1720,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
19,SAAB,9-3,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-01-02,2019-01-02,2004-01-20,1796.0,90.0,1450,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
20,VOLKSWAGEN,TOURAN 1.9 TDI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-01-02,2019-01-02,2009-02-02,1896.0,77.0,1498,5.0,OLEJ NAPĘDOWY,,ŚWIĘTOKRZYSKIE
21,AUDI,A3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,1999,2019-01-02,2019-01-02,1999-10-19,1595.0,74.0,1165,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
22,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-01-02,2019-01-02,2003-03-18,1781.0,110.0,1481,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
23,PEUGEOT,207,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-01-02,2019-01-02,2007-03-27,1360.0,65.0,1224,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
24,SEAT,IBIZA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-01-02,2019-01-02,2012-01-11,1199.0,55.0,1150,5.0,OLEJ NAPĘDOWY,,ŚWIĘTOKRZYSKIE
25,VOLKSWAGEN,T-ROC,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,999.0,85.0,1230,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
26,DACIA,DOKKER,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-01-02,2019-01-02,,1598.0,80.0,1304,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
