,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,CITROEN,XSARA PICASSO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,1999,FABRYCZNY,2019-09-02,2019-09-02,2000-01-28,1749.0,85.0,1245,5.0,BENZYNA,,DOLNOŚLĄSKIE
1,MERCEDES-BENZ,GLE 300 D 4MATIC,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-02,2019-11-07,,1950.0,180.0,2385,7.0,OLEJ NAPĘDOWY,,DOLNOŚLĄSKIE
2,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2000,FABRYCZNY,2019-09-02,2019-09-02,2000-06-20,1595.0,74.0,1357,5.0,BENZYNA,,DOLNOŚLĄSKIE
3,SKODA,FABIA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-10-25,2009-09-03,1198.0,51.0,1110,5.0,BENZYNA,,DOLNOŚLĄSKIE
4,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2003,FABRYCZNY,2019-09-02,2019-09-02,2003-02-03,1984.0,85.0,1325,5.0,BENZYNA,,DOLNOŚLĄSKIE
5,PEUGEOT,307,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-02,2019-09-02,2004-12-21,1587.0,80.0,1344,7.0,BENZYNA,,DOLNOŚLĄSKIE
6,OPEL,ANTARA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2010,FABRYCZNY,2019-09-02,2019-10-15,2010-09-06,1991.0,110.0,1967,5.0,OLEJ NAPĘDOWY,,DOLNOŚLĄSKIE
7,FORD,GALAXY,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,2000,FABRYCZNY,2019-09-02,2019-09-02,2000-03-13,2295.0,107.0,1681,7.0,BENZYNA,,DOLNOŚLĄSKIE
8,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2002,FABRYCZNY,2019-09-02,2019-10-09,2002-04-03,1896.0,74.0,1285,5.0,OLEJ NAPĘDOWY,,DOLNOŚLĄSKIE
9,RENAULT,MEGANE SCENIC,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-09-02,2009-09-24,1997.0,103.0,1503,5.0,BENZYNA,,DOLNOŚLĄSKIE
10,FORD,FOCUS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-04-21,1999.0,107.0,1327,5.0,BENZYNA,,DOLNOŚLĄSKIE
11,BMW,X3 XDRIVE30D,SAMOCHÓD OSOBOWY,KOMBI,NOWY IMPORT INDYW,FABRYCZNY,2019,2019-09-02,2019-09-02,,2993.0,195.0,1895,5.0,OLEJ NAPĘDOWY,,DOLNOŚLĄSKIE
12,VOLKSWAGEN,CARAVELLE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-06-01,1968.0,103.0,2017,8.0,OLEJ NAPĘDOWY,,DOLNOŚLĄSKIE
13,AUDI,A4,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-03-06,1798.0,125.0,1505,5.0,BENZYNA,,DOLNOŚLĄSKIE
