,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-08-24,1299.0,51.0,1123,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
1,MERCEDES-BENZ,A 150,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-10-28,2007-07-31,1498.0,70.0,1150,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
2,RENAULT,KANGOO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2003,FABRYCZNY,2019-09-02,2019-10-18,2003-12-02,1461.0,60.0,1215,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
3,CITROEN,C5 AIRCROSS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-02,2019-09-02,,1598.0,133.0,1430,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
4,CHEVROLET,CAPTIVA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-09-02,2010-01-14,2405.0,100.0,1730,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
5,SKODA,SUPERB,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2003,FABRYCZNY,2019-09-02,2019-09-02,2003-02-24,1984.0,85.0,1487,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
6,CITROEN,C3 PICASSO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2014,FABRYCZNY,2019-09-02,2019-10-11,2014-06-30,1598.0,88.0,1375,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
7,TOYOTA,AVENSIS 1.8,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-07-27,1798.0,108.0,1502,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
8,VOLVO,S60,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-10-04,,1969.0,184.0,1726,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
9,VOLKSWAGEN,GOLF PLUS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-10-03,2010-05-25,1197.0,77.0,1356,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
10,SKODA,KODIAQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1498.0,110.0,1597,7.0,BENZYNA,,KUJAWSKO-POMORSKIE
11,AUDI,A3,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-03-11,1598.0,77.0,1415,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
12,OPEL,MERIVA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-08-06,1598.0,64.0,1350,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
13,OPEL,ASTRA TWIN TOP,SAMOCHÓD OSOBOWY,KABRIOLET,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-05-15,1796.0,103.0,1425,4.0,BENZYNA,,KUJAWSKO-POMORSKIE
14,VOLKSWAGEN,SCIROCCO,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-07-30,1390.0,90.0,1319,4.0,BENZYNA,,KUJAWSKO-POMORSKIE
15,VOLKSWAGEN,TOURAN,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-12-16,1896.0,74.0,1573,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
16,FORD,FOCUS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-07-14,1596.0,74.0,1167,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
17,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-03-17,1595.0,75.0,1420,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
18,MAZDA,3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-12-21,1999.0,110.0,1310,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
19,HYUNDAI,TUCSON,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2007-05-04,1975.0,104.0,1537,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
20,BMW,320D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2016-06-28,1995.0,140.0,1530,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
21,VOLVO,XC60,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1969.0,110.0,1786,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
22,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1498.0,110.0,1319,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
23,VOLKSWAGEN,GOLF PLUS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-06-02,1595.0,75.0,1308,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
24,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-04-01,1598.0,55.0,1157,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
25,BMW,328I,SAMOCHÓD OSOBOWY,KABRIOLET,UŻYW. IMPORT INDYW,FABRYCZNY,1999,2019-09-02,2019-09-02,1999-04-20,2793.0,142.0,1505,4.0,BENZYNA,,KUJAWSKO-POMORSKIE
26,VOLKSWAGEN,TOURAN,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-05-27,1598.0,85.0,1498,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
27,FORD,FOCUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-10-04,1560.0,80.0,1391,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
28,BMW,228I,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2015,2019-09-02,2019-09-02,2015-01-01,1997.0,180.0,1535,4.0,BENZYNA,,KUJAWSKO-POMORSKIE
29,MAZDA,CX-3,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1998.0,89.0,1229,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
30,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2015,2019-09-02,2019-09-02,2015-05-12,1197.0,81.0,1235,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
31,BMW,320I XDRIVE,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1998.0,135.0,1540,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
32,FIAT,TIPO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1368.0,70.0,1195,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
33,MERCEDES-BENZ,B 180 D,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1461.0,85.0,1450,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
34,MERCEDES-BENZ,A 140 1.4,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2001-05-10,1397.0,60.0,1105,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
35,HYUNDAI,TUCSON,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1591.0,97.0,1467,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
36,SKODA,YETI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2010-04-27,1197.0,77.0,1345,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
37,VOLKSWAGEN,TOUAREG,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-10-15,2967.0,193.0,2110,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
38,FORD,MONDEO 1.8 I,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-02,2019-09-02,2002-06-18,1798.0,92.0,1396,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
39,VOLKSWAGEN,TOURAN,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-11-05,1896.0,77.0,1601,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
40,CHRYSLER,PT CRUISER,SAMOCHÓD OSOBOWY,KABRIOLET,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-06-23,2429.0,105.0,1605,4.0,BENZYNA,,KUJAWSKO-POMORSKIE
41,SEAT,TOLEDO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2005-07-29,1595.0,75.0,1419,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
42,SEAT,IBIZA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-04-30,1390.0,55.0,1132,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
43,TOYOTA,AURIS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2008-01-07,1598.0,91.0,1335,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
44,BMW,118I,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1499.0,100.0,1320,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
45,FORD,FOCUS,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1496.0,110.6,1337,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
46,MERCEDES-BENZ,A 180 CDI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-09-26,1461.0,80.0,1350,5.0,OLEJ NAPĘDOWY,,KUJAWSKO-POMORSKIE
47,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,1996,2019-09-02,2019-09-02,1996-11-01,1598.0,55.0,1015,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
48,OPEL,ASTRA GTC,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-02-16,1796.0,103.0,1265,5.0,BENZYNA,,KUJAWSKO-POMORSKIE
