,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2003,FABRYCZNY,2019-09-02,2019-09-02,2003-12-18,1390.0,55.0,1204,5.0,BENZYNA,,LUBELSKIE
1,CITROEN,"C4 1,6I 16V",SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2005,FABRYCZNY,2019-09-02,2019-09-02,2005-10-21,1587.0,80.0,1200,5.0,BENZYNA,,LUBELSKIE
2,HONDA,JAZZ,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2005,FABRYCZNY,2019-09-02,2019-10-21,2005-06-30,1339.0,61.0,1071,5.0,BENZYNA,,LUBELSKIE
3,VOLVO,S80,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-01-05,2400.0,136.0,1572,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
4,TOYOTA,AVENSIS VERSO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-02,2019-09-02,2002-10-28,1995.0,85.0,1600,7.0,OLEJ NAPĘDOWY,,LUBELSKIE
5,AUDI,A3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2001-08-01,1781.0,92.0,1235,5.0,BENZYNA,,LUBELSKIE
6,RENAULT,,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-10-29,1995.0,118.0,1435,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
7,MAZDA,3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2006-01-30,1560.0,80.0,1355,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
8,RENAULT,MEGANE,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1461.0,85.0,1419,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
9,SUZUKI,SWIFT,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-09-09,1328.0,67.5,980,5.0,BENZYNA,,LUBELSKIE
10,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2012-01-13,1560.0,70.0,1118,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
11,BMW,525D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-04-16,1995.0,160.0,1825,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
12,HYUNDAI,I20,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-07-15,1248.0,57.0,1045,5.0,BENZYNA,,LUBELSKIE
13,VOLKSWAGEN,BORA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-02,2019-09-02,2002-05-03,1896.0,74.0,1352,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
14,RENAULT,MEGANE,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1461.0,85.0,1419,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
15,OPEL,ASTRA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-09-16,1598.0,85.0,1315,5.0,BENZYNA,,LUBELSKIE
16,BMW,525D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-12-07,2497.0,130.0,1760,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
17,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-12-15,1997.0,120.0,1592,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
18,VOLKSWAGEN,NEW BEETLE,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2001-08-17,1896.0,66.0,1370,4.0,OLEJ NAPĘDOWY,,LUBELSKIE
19,VOLVO,XC60,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-03-25,1969.0,133.0,1854,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
20,FORD,FOCUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-08-31,1560.0,80.0,1391,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
21,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-07-08,1968.0,125.0,1520,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
22,OPEL,VECTRA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2009-03-23,1910.0,110.0,1600,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
23,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,85.0,1316,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
24,AUDI,A6,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-08-16,2698.0,120.0,1890,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
25,KIA,STONIC,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1368.0,73.3,1085,5.0,BENZYNA,,LUBELSKIE
26,BMW,320 2.0 D,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,1998,2019-09-02,2019-09-02,1998-08-19,1950.0,100.0,1450,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
27,RENAULT,MEGANE,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1461.0,85.0,1419,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
28,MERCEDES-BENZ,E 220 CDI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-04-08,2148.0,110.0,1810,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
29,OPEL,COMBO LIFE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1499.0,75.0,1485,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
30,HONDA,HR-V,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1498.0,96.0,1244,5.0,BENZYNA,,LUBELSKIE
31,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-04-27,1896.0,77.0,1357,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
32,PEUGEOT,508,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-05-26,1997.0,103.0,1575,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
33,TOYOTA,TOYOTA COROLLA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-09-02,2019-09-02,,1598.0,97.0,1279,5.0,BENZYNA,,LUBELSKIE
