,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,MERCEDES-BENZ,E 240,SAMOCHÓD OSOBOWY,---,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-02,2019-09-02,2004-01-23,2597.0,130.0,1745,5.0,BENZYNA,,MAŁOPOLSKIE
1,PEUGEOT,407,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-02,2019-09-02,2005-01-06,1997.0,100.0,1521,5.0,BENZYNA,,MAŁOPOLSKIE
2,NISSAN,QASHQAI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2011,FABRYCZNY,2019-09-02,2019-09-02,2011-03-10,1598.0,86.0,1325,5.0,BENZYNA,,MAŁOPOLSKIE
3,RENAULT,CLIO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2002,FABRYCZNY,2019-09-02,2019-09-02,2002-06-03,1149.0,55.0,1005,5.0,BENZYNA,,MAŁOPOLSKIE
4,TOYOTA,COROLLA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-02,2019-09-02,2004-10-21,1598.0,81.0,1255,5.0,BENZYNA,,MAŁOPOLSKIE
5,HONDA,JAZZ,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2005,FABRYCZNY,2019-09-02,2019-10-29,2005-10-07,1339.0,61.0,1071,5.0,BENZYNA,,MAŁOPOLSKIE
6,AUDI,A3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2013,FABRYCZNY,2019-09-02,2019-10-30,2013-10-08,1968.0,110.0,1355,5.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
7,MERCEDES-BENZ,E280,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,1993,FABRYCZNY,2019-09-02,2019-09-02,1993-10-01,2799.0,142.0,1500,5.0,BENZYNA,,MAŁOPOLSKIE
8,TOYOTA,RAV4,SAMOCHÓD OSOBOWY,TERENOWY,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-09-02,2009-01-12,1998.0,112.0,1540,5.0,BENZYNA,,MAŁOPOLSKIE
9,VOLVO,S40,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2006,FABRYCZNY,2019-09-02,2019-10-31,2006-11-29,1997.0,100.0,1463,5.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
10,BMW,X5 XDRIVE40I,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-02,2019-09-02,,2998.0,250.0,2060,5.0,BENZYNA,,MAŁOPOLSKIE
11,FIAT,500,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2016,FABRYCZNY,2019-09-02,2019-09-02,2016-07-05,1242.0,51.0,865,4.0,BENZYNA,,MAŁOPOLSKIE
12,OPEL,ASTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-02,2019-09-02,2009-04-09,1598.0,85.0,1195,5.0,BENZYNA,,MAŁOPOLSKIE
13,OPEL,ASTRA GTC,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-04-26,1796.0,103.0,1190,5.0,BENZYNA,,MAŁOPOLSKIE
14,FIAT,SEDICI,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-11-12,1586.0,79.0,1195,5.0,BENZYNA,,MAŁOPOLSKIE
15,VOLKSWAGEN,GOLF PLUS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2008,FABRYCZNY,2019-09-02,2019-09-02,2008-02-07,1595.0,75.0,1383,5.0,BENZYNA,,MAŁOPOLSKIE
16,RENAULT,KANGOO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-08-16,1461.0,60.0,1170,5.0,BENZYNA,,MAŁOPOLSKIE
17,RENAULT,TRAFIC,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-08-02,1995.0,84.0,1976,9.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
18,KIA,PICANTO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-08-01,998.0,51.0,920,5.0,BENZYNA,,MAŁOPOLSKIE
19,HYUNDAI,I20,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1248.0,61.8,1032,5.0,BENZYNA,,MAŁOPOLSKIE
20,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-11-29,1598.0,77.0,1365,5.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
21,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-07-12,998.0,48.0,940,5.0,BENZYNA,,MAŁOPOLSKIE
22,SUZUKI,SX4,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-08-15,1956.0,99.0,1425,5.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
23,TOYOTA,TOYOTA COROLLA,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1798.0,72.0,1409,5.0,BENZYNA,,MAŁOPOLSKIE
24,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1591.0,130.0,1562,5.0,BENZYNA,,MAŁOPOLSKIE
25,HYUNDAI,KONA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,998.0,88.3,1252,5.0,BENZYNA,,MAŁOPOLSKIE
26,CITROEN,BERLINGO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-05-27,1560.0,68.0,1601,5.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
27,KIA,CEE'D,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-09-05,1396.0,73.0,1258,5.0,BENZYNA,,MAŁOPOLSKIE
28,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-11-17,1388.0,71.0,1026,5.0,BENZYNA,,MAŁOPOLSKIE
29,SUZUKI,SX4,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-11-16,1586.0,79.0,1308,5.0,BENZYNA,,MAŁOPOLSKIE
30,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-06-07,1896.0,77.0,1400,5.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
31,LANCIA,YPSILON,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-08-03,1242.0,44.0,945,4.0,BENZYNA,,MAŁOPOLSKIE
32,FIAT,PANDA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-05-08,1248.0,51.0,1010,4.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
33,HYUNDAI,I30,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1368.0,73.3,1221,5.0,BENZYNA,,MAŁOPOLSKIE
34,FIAT,TIPO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1368.0,88.0,1305,5.0,BENZYNA,,MAŁOPOLSKIE
35,CITROEN,C4,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-04-07,1598.0,110.0,1581,5.0,BENZYNA,,MAŁOPOLSKIE
36,KIA,STINGER,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,2199.0,147.0,1735,5.0,OLEJ NAPĘDOWY,,MAŁOPOLSKIE
