,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,SEAT,LEON,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2003,FABRYCZNY,2019-09-02,2019-11-06,2003-02-19,1896.0,110.0,1390,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
1,RENAULT,,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2015,FABRYCZNY,2019-09-02,2019-11-06,2015-06-26,1461.0,81.0,1290,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
2,HYUNDAI,IX35,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2010,FABRYCZNY,2019-09-02,2019-09-02,2010-12-21,1998.0,120.0,1455,5.0,BENZYNA,,WIELKOPOLSKIE
3,SUZUKI,SWIFT,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-02,2019-09-02,,1242.0,66.0,952,5.0,BENZYNA,,WIELKOPOLSKIE
4,LAND ROVER,DISCOVERY 3.9 V8,SAMOCHÓD OSOBOWY,TERENOWY,UŻYW. IMPORT INDYW,1996,FABRYCZNY,2019-09-02,2019-09-02,1997-01-27,3950.0,127.0,2025,5.0,BENZYNA,,WIELKOPOLSKIE
5,DODGE,CALIBER,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2008,FABRYCZNY,2019-09-02,2019-09-02,2010-03-02,1798.0,110.0,1395,5.0,BENZYNA,,WIELKOPOLSKIE
6,FORD,MONDEO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2010,FABRYCZNY,2019-09-02,2019-09-02,2010-07-01,1997.0,103.0,1557,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
7,FORD,S-MAX,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2008,FABRYCZNY,2019-09-02,2019-09-02,2008-04-04,1753.0,92.0,1736,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
8,TOYOTA,AYGO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-10-04,2009-09-17,998.0,50.0,875,4.0,BENZYNA,,WIELKOPOLSKIE
9,SEAT,LEON,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-02,2019-09-02,2002-09-18,1896.0,81.0,1334,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
10,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-11-21,1198.0,40.0,1089,5.0,BENZYNA,,WIELKOPOLSKIE
11,TOYOTA,COROLLA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1798.0,72.0,1350,5.0,BENZYNA,,WIELKOPOLSKIE
12,VOLKSWAGEN,MULTIVAN,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-03-22,2461.0,128.0,2274,7.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
13,KIA,VENGA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2016-09-13,1396.0,66.2,1302,5.0,BENZYNA,,WIELKOPOLSKIE
14,MAZDA,2,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-05-23,1242.0,55.0,1081,5.0,BENZYNA,,WIELKOPOLSKIE
15,MAZDA,CX-5,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1998.0,121.0,1515,5.0,BENZYNA,,WIELKOPOLSKIE
16,MERCEDES-BENZ,GLC 200 D 4MATIC,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1950.0,120.0,1825,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
17,FORD,ECOSPORT,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,998.0,92.0,1316,5.0,BENZYNA,,WIELKOPOLSKIE
18,HYUNDAI,IX20,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2013-03-21,1396.0,66.0,1278,5.0,BENZYNA,,WIELKOPOLSKIE
19,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-07-04,1560.0,70.0,1117,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
20,RENAULT,MEGANE 1.5 DCI,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2015,2019-09-02,2019-09-27,2015-05-28,1461.0,81.0,1215,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
21,AUDI,A1,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2011-03-05,1598.0,77.0,1215,4.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
22,CITROEN,C3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-11-13,1398.0,50.0,1089,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
23,NISSAN,MICRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-05-05,1240.0,48.0,1040,5.0,BENZYNA,,WIELKOPOLSKIE
24,BMW,330D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-06-25,2993.0,180.0,1600,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
25,PEUGEOT,206 SW,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-07-01,1360.0,65.0,1113,5.0,BENZYNA,,WIELKOPOLSKIE
