,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,MERCEDES-BENZ,CLS 400 D 4MATIC,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-02,2019-10-31,,2925.0,250.0,1955,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
1,MAZDA,CX-5,SAMOCHÓD OSOBOWY,TERENOWY,UŻYW. IMPORT INDYW,2016,FABRYCZNY,2019-09-02,2019-09-02,2016-01-01,2488.0,141.0,1575,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
2,PEUGEOT,2008,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1199.0,81.0,1161,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
3,PEUGEOT,206,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2001-05-31,1360.0,55.0,1025,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
4,KIA,CEED,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-11-26,1591.0,93.0,1317,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
5,HYUNDAI,I30,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-12-17,1582.0,81.0,1401,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
6,MERCEDES-BENZ,E 220,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-02-25,2148.0,110.0,1735,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
7,FORD,TOURNEO COURIER,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1499.0,73.8,1370,5.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
8,VOLKSWAGEN,KOMBI,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1968.0,75.0,2045,9.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
9,KIA,CEE'D,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-12-30,1591.0,91.9,1188,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
10,VOLKSWAGEN,KOMBI,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1968.0,75.0,2045,9.0,OLEJ NAPĘDOWY,,ZACHODNIOPOMORSKIE
11,KIA,STONIC,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1368.0,73.3,1085,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
12,PEUGEOT,208,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2017,2019-09-02,2019-09-02,2017-04-20,1199.0,60.0,1045,5.0,BENZYNA,,ZACHODNIOPOMORSKIE
