,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
0,MITSUBISHI,ASX,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2010,FABRYCZNY,2019-09-02,2019-09-02,2010-10-27,1590.0,86.0,1345,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
1,FORD,FOCUS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2014,FABRYCZNY,2019-09-02,2019-10-25,2014-05-23,1560.0,85.0,1269,5.0,OLEJ NAPĘDOWY,,ŚWIĘTOKRZYSKIE
2,VOLKSWAGEN,TOURAN,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-02,2019-09-02,2007-07-06,1390.0,103.0,1553,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
3,SUZUKI,VITARA 1.6 KAT,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,1990,FABRYCZNY,2019-09-02,2019-10-23,1990-10-13,1589.0,59.0,1010,4.0,BENZYNA,,ŚWIĘTOKRZYSKIE
4,FORD,MONDEO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2008,FABRYCZNY,2019-09-02,2019-09-27,2008-06-04,1999.0,107.0,1496,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
5,AUDI,A3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2003,FABRYCZNY,2019-09-02,2019-09-02,2003-12-08,1595.0,75.0,1280,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
6,VOLKSWAGEN,GOLF PLUS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-03-14,1595.0,75.0,1383,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
7,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-10-26,1598.0,77.0,1543,5.0,OLEJ NAPĘDOWY,,ŚWIĘTOKRZYSKIE
8,FIAT,500X,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2017-03-21,1368.0,103.0,1395,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
9,LEXUS,UX200,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1987.0,127.0,1478,5.0,BENZYNA,,ŚWIĘTOKRZYSKIE
